prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-ARC,SLOW,4.B.Red,2026-04-07,3,1749.0,1827.0,515.704,2536.904
CAL.R-ARC,SLOW,4.B.Red,2026-05-02,3,1748.0,1824.0,507.211,2476.218
CAL.R-ARC,SLOW,4.B.Red,2026-06-30,3,1749.0,1831.0,527.5,2608.977
CAL.R-BIA,FAST,1.A.Green,2026-04-07,13,877.0,878.0,0.997,0.36
CAL.R-BIA,FAST,1.A.Green,2026-05-02,1,863.0,864.0,0.901,0.371
CAL.R-BIA,FAST,1.A.Green,2026-06-30,11,880.0,881.0,0.99,0.371
CAL.R-BIA,FAST,1.A.Red,2026-04-07,13,1754.0,1754.0,0.282,0.469
CAL.R-BIA,FAST,1.A.Red,2026-05-02,1,1755.0,1754.0,0.312,0.474
CAL.R-BIA,FAST,1.A.Red,2026-06-30,11,1761.0,1761.0,0.287,0.487
CAL.R-BIA,FAST,1.B.Blue,2026-04-07,13,1226.0,1226.0,0.184,0.202
CAL.R-BIA,FAST,1.B.Blue,2026-05-02,1,1223.0,1223.0,0.179,0.218
CAL.R-BIA,FAST,1.B.Blue,2026-06-30,11,1229.0,1229.0,0.183,0.201
CAL.R-BIA,FAST,1.B.Green,2026-04-07,13,1041.0,1043.0,0.768,0.485
CAL.R-BIA,FAST,1.B.Green,2026-05-02,1,1038.0,1040.0,0.749,0.477
CAL.R-BIA,FAST,1.B.Green,2026-06-30,11,1042.0,1043.0,0.773,0.532
CAL.R-BIA,FAST,1.B.Red,2026-04-07,13,1560.0,1561.0,1.076,0.392
CAL.R-BIA,FAST,1.B.Red,2026-05-02,1,1553.0,1554.0,1.034,0.388
CAL.R-BIA,FAST,1.B.Red,2026-06-30,11,1572.0,1573.0,1.075,0.39
CAL.R-BIA,FAST,2.A.Blue,2026-04-07,13,806.0,806.0,0.32,0.384
CAL.R-BIA,FAST,2.A.Blue,2026-05-02,1,804.0,804.0,0.252,0.374
CAL.R-BIA,FAST,2.A.Blue,2026-06-30,11,814.0,814.0,0.309,0.396
CAL.R-BIA,FAST,2.A.Green,2026-04-07,13,860.0,862.0,1.355,0.249
CAL.R-BIA,FAST,2.A.Green,2026-05-02,1,879.0,880.0,1.334,0.25
CAL.R-BIA,FAST,2.A.Green,2026-06-30,11,856.0,858.0,1.355,0.255
CAL.R-BIA,FAST,2.A.Red,2026-04-07,13,828.0,829.0,0.352,0.355
CAL.R-BIA,FAST,2.A.Red,2026-05-02,1,822.0,822.0,0.335,0.362
CAL.R-BIA,FAST,2.A.Red,2026-06-30,11,837.0,837.0,0.369,0.368
CAL.R-BIA,FAST,2.B.Blue,2026-04-07,13,1429.0,1429.0,0.293,0.201
CAL.R-BIA,FAST,2.B.Blue,2026-05-02,1,1427.0,1427.0,0.297,0.21
CAL.R-BIA,FAST,2.B.Blue,2026-06-30,11,1432.0,1432.0,0.304,0.199
CAL.R-BIA,FAST,2.B.Green,2026-04-07,13,760.0,760.0,0.111,0.113
CAL.R-BIA,FAST,2.B.Green,2026-05-02,1,764.0,764.0,0.212,0.307
CAL.R-BIA,FAST,2.B.Green,2026-06-30,11,760.0,760.0,0.106,0.109
CAL.R-BIA,FAST,2.B.Red,2026-04-07,13,1659.0,1659.0,0.2,0.427
CAL.R-BIA,FAST,2.B.Red,2026-05-02,1,1646.0,1646.0,0.196,0.416
CAL.R-BIA,FAST,2.B.Red,2026-06-30,11,1666.0,1666.0,0.204,0.452
CAL.R-BIA,FAST,3.A.Blue,2026-04-07,13,1446.0,1446.0,1402.612,2.984
CAL.R-BIA,FAST,3.A.Blue,2026-05-02,1,1448.0,1448.0,1402.384,3.026
CAL.R-BIA,FAST,3.A.Blue,2026-06-30,11,1446.0,1445.0,1402.503,3.044
CAL.R-BIA,FAST,3.A.Green,2026-04-07,13,788.0,788.0,0.514,0.383
CAL.R-BIA,FAST,3.A.Green,2026-05-02,1,802.0,803.0,0.592,0.378
CAL.R-BIA,FAST,3.A.Green,2026-06-30,11,786.0,786.0,0.498,0.415
CAL.R-BIA,FAST,3.A.Red,2026-04-07,13,1749.0,1749.0,0.2,0.507
CAL.R-BIA,FAST,3.A.Red,2026-05-02,1,1740.0,1740.0,0.198,0.495
